Country Code,Country,Item Code,Item,Element Code,Element,Unit,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F
"114","Kenya","329","Cottonseed","5531","Producer Price (SLC/tonne)","SLC","900.000000","","1030.000000","",,,,,,,,,,,,,,,,,,,,,,,"3275.990000","Fc","2865.760000","Fc","3287.390000","Fc","3067.650000","Fc","3660.420000","Fc","3899.810000","Fc","7199.640000","Fc","9749.510000","Fc","6749.660000","Fc","6296.850098","Fc",,
"114","Kenya","329","Cottonseed","5532","Producer Price (USD/tonne)","USD","32.717909","","31.970857","",,,,,,,,,,,,,,,,,,,,,,,"41.397009","Fc","37.942917","Fc","45.604155","Fc","45.602013","Fc","52.915130","Fc","50.443798","Fc","90.927507","Fc","110.263628","Fc","79.858732","Fc","73.127346","Fc",,
"114","Kenya","195","Cow peas, dry","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,,,,,,,,,,,,,"17778.000000","","19444.000000","","20000.000000","","27778.000000","","22222.000000","","28333.000000","","32222.000000","","50256.000000","","69439.000000","","53224.000000","","68639.000000","","61711.000000","","59222.000000","",,
"114","Kenya","195","Cow peas, dry","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,,,,,,,,,,,,,"17778.000000","","19444.000000","","20000.000000","","27778.000000","","22222.000000","","28333.000000","","32222.000000","","50256.000000","","69439.000000","","53224.000000","","68639.000000","","61711.000000","","59222.000000","",,
"114","Kenya","195","Cow peas, dry","5532","Producer Price (USD/tonne)","USD",,,,,,,,,,,,,,,,,,,,,"226.289182","","246.910633","","263.381182","","351.016369","","294.221253","","393.048137","","478.994693","","726.502090","","898.189109","","672.189947","","776.283646","","730.134879","","687.764139","",,
"114","Kenya","397","Cucumbers and gherkins","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28360.000000","","29394.000000","","32101.000000","","34201.000000","","36860.000000","","47680.000000","",,
"114","Kenya","397","Cucumbers and gherkins","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28360.000000","","29394.000000","","32101.000000","","34201.000000","","36860.000000","","47680.000000","",,
"114","Kenya","397","Cucumbers and gherkins","5532","Producer Price (USD/tonne)","USD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"409.972924","","380.209546","","405.418035","","386.801629","","436.109796","","553.723180","",,
"114","Kenya","1062","Eggs, hen, in shell","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,,,"56250.000000","","56250.000000","","66667.000000","","55556.000000","","66667.000000","","111111.000000","","111111.000000","","111111.000000","","111111.000000","","123388.000000","","127792.000000","","141813.000000","","176485.000000","","158437.000000","","177777.000000","","177777.000000","","182000.000000","","182000.000000","",,
"114","Kenya","1062","Eggs, hen, in shell","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,,,"56250.000000","","56250.000000","","66667.000000","","55556.000000","","66667.000000","","111111.000000","","111111.000000","","111111.000000","","111111.000000","","123388.000000","","127792.000000","","141813.000000","","176485.000000","","158437.000000","","177777.000000","","177777.000000","","182000.000000","","182000.000000","",,
