"Country Code","Country","Item Code","Item","Months Code","Months","Unit","Y2000","Y2000F","Y2001","Y2001F","Y2002","Y2002F","Y2003","Y2003F","Y2004","Y2004F","Y2005","Y2005F","Y2006","Y2006F","Y2007","Y2007F","Y2008","Y2008F","Y2009","Y2009F","Y2010","Y2010F","Y2011","Y2011F","Y2012","Y2012F","Y2013","Y2013F","Y2014","Y2014F"
"4","Algeria","23012","Consumer Prices, General Indices (2000 = 100)","7010","October","","98.5","","103.9","","104.4","","111.6","","116.1","","113.8","","120.1","","125.8","","130.3","","143.4","","148.1","","158.7","","174.8","","176.5","","188.5",""
"4","Algeria","23012","Consumer Prices, General Indices (2000 = 100)","7011","November","","100.1","","107.8","","108.1","","114.9","","117.8","","115.1","","120.5","","126.4","","133.2","","143.4","","149.6","","157.9","","172.7","","176.2","","188.0",""
"4","Algeria","23012","Consumer Prices, General Indices (2000 = 100)","7012","December","","101.4","","110.9","","107.9","","114.7","","116.6","","117.5","","122.7","","128.8","","137.1","","143.1","","148.1","","158.3","","173.2","","177.5","","185.8",""
"4","Algeria","23012","Consumer Prices, General Indices (2000 = 100)","7013","Year average","","100.0","","103.5","","105.8","","109.5","","114.5","","116.7","","118.8","","123.5","","128.9","","140.1","","145.9","","154.3","","169.3","","176.2","","183.0",""
"20","Botswana","23013","Consumer Prices, Food Indices (2000 = 100)","7001","January","","97.1","","100.9","","105.1","","120.5","","127.2","","133.2","","147.6","","159.8","","189.0","","231.2","","239.6","","250.8","","273.2","","293.6","","304.2",""
"20","Botswana","23013","Consumer Prices, Food Indices (2000 = 100)","7002","February","","98.1","","101.4","","105.5","","121.4","","127.7","","132.9","","149.0","","161.6","","191.4","","231.8","","239.6","","252.2","","274.8","","294.9","","305.4",""
"20","Botswana","23013","Consumer Prices, Food Indices (2000 = 100)","7003","March","","98.9","","101.6","","106.8","","122.4","","129.0","","132.9","","151.3","","163.8","","193.4","","235.0","","241.6","","254.5","","276.8","","296.6","","306.1",""
"20","Botswana","23013","Consumer Prices, Food Indices (2000 = 100)","7004","April","","100.1","","101.7","","107.8","","124.4","","130.9","","134.2","","153.6","","165.8","","196.4","","235.9","","244.8","","260.6","","280.6","","297.6","","307.3",""
"20","Botswana","23013","Consumer Prices, Food Indices (2000 = 100)","7005","May","","100.4","","102.1","","108.3","","125.6","","131.4","","133.7","","155.5","","169.2","","200.4","","236.5","","247.3","","262.9","","282.8","","298.5","","308.1",""
"20","Botswana","23013","Consumer Prices, Food Indices (2000 = 100)","7006","June","","100.7","","102.3","","109.0","","126.3","","132.1","","136.3","","155.8","","173.8","","205.5","","236.9","","247.5","","264.1","","284.7","","299.0","","308.5",""
"20","Botswana","23013","Consumer Prices, Food Indices (2000 = 100)","7007","July","","101.3","","102.7","","113.8","","126.3","","131.3","","138.6","","156.6","","176.8","","209.4","","240.2","","248.0","","264.8","","286.0","","299.3","","309.0",""
"20","Botswana","23013","Consumer Prices, Food Indices (2000 = 100)","7008","August","","101.2","","102.9","","116.0","","126.7","","131.6","","140.1","","158.1","","178.2","","211.7","","240.5","","248.6","","266.2","","287.0","","300.4","","309.2",""
"20","Botswana","23013","Consumer Prices, Food Indices (2000 = 100)","7009","September","","100.7","","103.1","","117.0","","126.8","","131.8","","141.7","","158.5","","178.4","","214.8","","240.5","","248.4","","267.6","","288.1","","301.6","","309.6",""
"20","Botswana","23013","Consumer Prices, Food Indices (2000 = 100)","7010","October","","100.8","","104.0","","118.2","","126.3","","132.4","","142.9","","159.3","","179.9","","225.1","","240.4","","248.4","","269.2","","289.8","","302.3","","310.0",""
"20","Botswana","23013","Consumer Prices, Food Indices (2000 = 100)","7011","November","","100.6","","104.4","","119.2","","126.4","","132.4","","144.1","","158.9","","182.5","","226.9","","240.8","","249.2","","270.6","","290.8","","303.1","","310.7",""
"20","Botswana","23013","Consumer Prices, Food Indices (2000 = 100)","7012","December","","100.6","","104.7","","119.6","","126.7","","132.9","","144.6","","158.4","","183.0","","228.6","","239.4","","249.9","","272.4","","292.0","","303.5","","311.2",""
"20","Botswana","23013","Consumer Prices, Food Indices (2000 = 100)","7013","Year average","","100.0","","102.6","","112.2","","125.0","","130.9","","137.9","","155.2","","172.7","","207.7","","237.4","","246.1","","263.0","","283.9","","299.2","","308.3",""
"20","Botswana","23012","Consumer Prices, General Indices (2000 = 100)","7001","January","","95.8","","103.5","","109.3","","121.2","","128.6","","139.0","","156.6","","168.2","","182.3","","205.5","","218.2","","235.4","","256.2","","275.4","","287.4",""
"20","Botswana","23012","Consumer Prices, General Indices (2000 = 100)","7002","February","","96.5","","103.6","","109.5","","122.3","","129.9","","139.4","","157.7","","169.2","","184.5","","206.0","","218.7","","237.3","","256.9","","275.9","","288.7",""
"20","Botswana","23012","Consumer Prices, General Indices (2000 = 100)","7003","March","","97.4","","104.6","","110.9","","122.8","","131.2","","139.8","","159.1","","169.4","","186.1","","207.9","","220.2","","238.8","","258.0","","277.4","","289.7",""
"20","Botswana","23012","Consumer Prices, General Indices (2000 = 100)","7004","April","","98.6","","105.0","","112.3","","124.5","","132.6","","140.8","","160.9","","170.8","","189.9","","209.2","","224.1","","242.4","","260.5","","279.3","","292.1",""
"20","Botswana","23012","Consumer Prices, General Indices (2000 = 100)","7005","May","","99.2","","106.5","","112.6","","125.2","","134.5","","143.0","","162.4","","172.7","","193.6","","209.9","","226.3","","245.1","","264.0","","280.1","","292.7",""
"20","Botswana","23012","Consumer Prices, General Indices (2000 = 100)","7006","June","","99.8","","106.8","","113.1","","126.9","","135.4","","145.1","","163.2","","173.8","","198.9","","212.9","","229.3","","247.4","","265.3","","280.8","","293.5",""
"20","Botswana","23012","Consumer Prices, General Indices (2000 = 100)","7007","July","","101.2","","107.2","","116.7","","126.8","","135.3","","146.5","","163.9","","176.3","","202.7","","214.8","","230.1","","247.9","","266.2","","281.3","","293.9",""
"20","Botswana","23012","Consumer Prices, General Indices (2000 = 100)","7008","August","","101.4","","107.5","","118.2","","127.4","","135.8","","148.9","","164.9","","176.8","","203.4","","215.8","","230.3","","250.4","","267.0","","281.9","","294.7",""
"20","Botswana","23012","Consumer Prices, General Indices (2000 = 100)","7009","September","","101.7","","108.0","","118.9","","127.6","","136.6","","150.2","","166.0","","177.3","","202.2","","216.3","","231.5","","251.4","","269.1","","282.6","","295.2",""
"20","Botswana","23012","Consumer Prices, General Indices (2000 = 100)","7010","October","","102.6","","108.5","","119.4","","127.7","","137.5","","152.9","","167.0","","179.2","","202.6","","216.5","","231.9","","252.4","","270.3","","283.3","","295.5",""
