"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","All Donors, Total","","Flow Type(s):","Net Disbursements","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Recipient(s)",
"Aruba","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","12.04","40.43","20.91","19.29","24.33","29.98","24.97","29.98","24.86","18.26","25.8","19.53","25.07","11.26","-7.38","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Azerbaijan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.3","7.43","23.87","149.04","119.54","96.36","184.06","120.25","169.42","139.12","229.76","349.31","300.7","175.76","216.51","206.39","225.21","235.15","231.79","160.14","286.59","284.6","-73.37","215.18"
"Bahamas","","-0.04","..","..","0.02","0.06","0.07","0.05","0.69","0.05","0.07","0.08","0.25","1.22","0.48","0.52","0.66","0.59","0.47","1.17","1.23","2.01","1.94","1.87","0.89","10.7","0.7","5.6","0.67","4.24","3.92","3.15","2.76","2.7","1.03","0.87","4.26","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Bahrain","","0.04","0.94","1.35","0.64","0.58","0.88","9.71","0.05","0.2","0.14","0.95","4.7","2.84","14.24","37.69","25.86","163.16","47.96","83.96","135.29","206.53","197.16","156","255.33","211.22","74.06","99.51","8.84","-2.61","-1.76","137.5","94.7","80.11","111.43","95.79","99.87","132.32","150.28","199.72","61.88","60.43","70.81","61.58","131.77","58.22","..","..","..","..","..","..","..","..","..",".."
"Bangladesh","","..","..","..","..","..","..","..","..","..","..","..","15.36","223.76","421.47","531.39","1071.62","497.89","784.36","995.01","1162.66","1286.72","1099.04","1337.4","1042.43","1186.82","1126.53","1428.05","1792.6","1614.36","1799.49","2092.76","1880.24","1818.39","1383.26","1742.89","1281.74","1228.07","1012.36","1162.86","1219.43","1172.84","1043.74","906.25","1394.89","1413.85","1318.85","1221.18","1515.24","2070.63","1225.82","1403.93","1492.17","2148.26","2628.88","2417.99"
"Barbados","","..","..","..","..","..","..","1.6","0.59","0.85","1.3","2.32","4.57","4.73","4.74","3.86","5.27","7.55","5.82","11.32","10.98","13.86","17.11","12.66","18.6","8.15","7.29","3.68","6.14","2.9","2.01","2.63","2.12","0.03","3.6","1.02","-1.16","4.23","4.32","15.66","-2.13","0.24","-1.15","3.31","19.88","28.81","-1.81","-2.08","17.51","7.12","11.96","16.2","..","..","..",".."
"Belarus","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","57.81","76.52","83.76","110.42","97.66","138.68","120.23","103.09","105.54","119.63"
"Belize","","1.82","2.82","5.52","4.06","1.55","2.13","2.58","5.84","5.52","6.84","5.95","5.07","8.87","4.67","6.22","8.71","11.63","9.53","18.22","20.72","14.5","11.31","12.03","15.06","13.9","21.93","24.06","23.48","25.01","28.52","30.32","21.77","25.56","30.51","31.57","18.23","20.63","14.06","15.19","46.06","14.66","22.17","22.38","11.78","7.58","12.17","8.63","21.77","23.86","27.56","24.53","22.03","25.18","49.89","36.02"
"Benin","","0.02","1.48","3.75","4.26","18.07","17.88","14.92","16.27","13.14","13.14","14.74","28.98","20.04","26.48","33.07","54.11","50.75","48.82","60.34","84.61","88.23","81.24","79.7","84.93","75.03","93.91","134.67","133.7","157.97","267.87","266.88","265.66","269.04","287.26","255.88","280.06","287.79","220.65","205.15","210.88","243.45","277.89","219.04","299.82","393.8","346.93","399.32","474.37","641.48","682.05","690.44","672.71","508.91","659.92","600.45"
"Bermuda","","..","..","..","..","0.01","0.05","0.06","0.06","0.04","0.01","0.01","..","0.01","..","0.03","0.02","0.03","0.08","0.16","0.15","0.28","0.21","0.07","0.07","0.08","0.94","0.09","0.23","0.04","0.1","42.19","-4.72","-5","-4.82","-12.48","-2.08","-4.07","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
